Loop Gain Phase X,Loop Gain Phase Y
1,179.1814888859006
1.584893192461114,178.702880695211
2.511886431509581,177.9447351258515
3.981071705534974,176.7447339326631
6.309573444801934,174.8491137737522
10,171.8693506655604
15.84893192461114,167.2417199863161
25.11886431509581,160.2586764559354
39.81071705534975,150.3703013918919
63.09573444801936,137.9673757680321
100.0000000000001,124.9896894820883
158.4893192461115,113.8271875606261
251.1886431509582,105.5690805913144
398.1071705534976,99.96895226238323
630.9573444801939,96.3255769721702
1000.000000000001,93.9964837780817
1584.893192461115,92.51697722352613
2511.886431509583,91.57745927496424
3981.071705534978,90.97760498160076
6309.573444801941,90.58855808961619
10000.00000000001,90.32649922775795
15848.93192461116,90.13490224398838
25118.86431509584,89.97242086282242
39810.71705534979,89.80398646525964
63095.73444801944,89.59324537044853
100000.0000000002,89.29471851277005
158489.3192461117,88.84400598899612
251188.6431509586,88.14396944911478
398107.1705534981,87.04409480585949
630957.3444801947,85.30931166063539
1000000.000000002,82.57440098144467
1584893.192461117,78.28507687705977
2511886.431509587,71.65217863813118
3981071.705534983,61.72830232904242
6309573.44480195,47.8523041853171
10000000.00000003,30.46838181585988
15848931.92461118,11.1145465875393
25118864.31509588,-9.225934447475218
39810717.05534985,-30.89759023188523
63095734.44801953,-54.26790049658293
100000000.0000003,-78.98297711620113
158489319.2461119,-105.2297627151897
251188643.1509589,-134.6761815036841
398107170.5534986,-169.7620125005907
630957344.4801955,-211.0834904627593
1000000000.000004,-247.285720410349
1584893192.461119,-258.4614561441859
2511886431.50959,-289.1135121932732
3981071705.534988,-333.4723269939016
6309573444.801957,-370.8469195157484
10000000000,-398.021314889726
