Loop Gain Phase X,Loop Gain Phase Y
1,179.7215707491846
1.584893192461114,179.5587246269033
2.511886431509581,179.3006465686132
3.981071705534974,178.89168270985
6.309573444801934,178.2437665492826
10,177.2178740343269
15.84893192461114,175.5958528528924
25.11886431509581,173.0405449855768
39.81071705534975,169.0506981556523
63.09573444801936,162.9535507416298
100.0000000000001,154.0822104902291
158.4893192461115,142.3965909002061
251.1886431509582,129.324128513249
398.1071705534976,117.3319473166764
630.9573444801939,108.0589134581119
1000.000000000001,101.6207772612753
1584.893192461115,97.38602944435019
2511.886431509583,94.66448110102635
3981.071705534978,92.92891708257943
6309.573444801941,91.82027556659864
10000.00000000001,91.10320878268614
15848.93192461116,90.62393499491563
25118.86431509584,90.27925388320614
39810.71705534979,89.99482965276819
63095.73444801944,89.70928787355173
100000.0000000002,89.36100948518035
158489.3192461117,88.87486440022438
251188.6431509586,88.14609719525654
398107.1705534981,87.01811473960517
630957.3444801947,85.25026415015877
1000000.000000002,82.47209033335338
1584893.192461117,78.12727199463463
2511886.431509587,71.44127660970314
3981071.705534983,61.54078415179935
6309573.44480195,47.97759508523602
10000000.00000003,31.53754078388885
15848931.92461118,13.93403097427164
25118864.31509588,-4.142681736475658
39810717.05534985,-24.05635952159238
63095734.44801953,-48.41816875551084
100000000.0000003,-79.5993373364357
158489319.2461119,-118.2341799358271
251188643.1509589,-163.2646051230512
398107170.5534986,-214.3832605085603
630957344.4801955,-271.8330456478968
1000000000.000004,-320.7227317219541
1584893192.461119,-323.977701725738
2511886431.50959,-348.4304686937153
3981071705.534988,-380.7223452368602
6309573444.801957,-405.0102836080155
10000000000,-421.2935777092428
